"manyID","treatyID","stateID","Title","Begin","End","Signature","Force","stateSignature","stateRat","stateForce","stateForce2","stateForce3","Term","stateWithdrawal","stateWithdrawal2","gengID","ecolexID","ieaID","Comments","Deposit","obsolete","ProvisionalApp","Reservation","verified","Notes","stateForce_ecolex","stateForce_iea","Consent","Acceptance","Accession","Changes_HUGGO","Verified_HUGGO","Checked_HUGGO","Succession"
"PW05MW_1925P","PW05MW_1925P","PRT","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1930-07-01","1930-07-01",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-07-01","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","ROU","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1929-08-23","1929-08-23",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-08-23","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","SLV","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","2008-02-26","2008-02-26",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-08-23","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","SRB","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1926-05-09","1925-06-17","1929-04-12","1929-04-12",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-08-23","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accession, Succession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,"2003-01-20"
"PW05MW_1925P","PW05MW_1925P","SWE","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1930-04-25","1930-04-25",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-04-25","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","THA","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1931-06-06","1931-06-06",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1931-06-06","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","URY","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1977-04-12","1977-04-12",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1977-04-12","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","USA","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1975-04-10","1975-04-10",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1975-04-10","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","VEN","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1928-02-08","1928-02-08",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1928-02-08","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","LBR","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1926-05-09",NA,"1927-04-02","1928-02-08",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1928-02-08","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1927-04-02","stateSignature, stateRat, stateForce, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","RUS","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1926-05-09",NA,"1928-04-05","1928-04-05",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1927-06-17","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateSignature, stateForce, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","IRN","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08",NA,"1929-08-03","1929-08-03",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-08-15","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1929-08-03","stateSignature, stateRat, stateForce, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","CHN","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1926-05-09",NA,"1952-07-13","1952-07-13",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-08-15","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateSignature, stateRat, stateForce, Accession, Succession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,"1952-07-13"
"PW05MW_1925P","PW05MW_1925P","AUS","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08",NA,"1930-01-22","1930-01-22",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-05-24","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1930-01-22","stateSignature, stateForce, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","NZL","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08",NA,"1930-01-22","1930-01-22",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-05-24","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1930-01-22","stateSignature, stateForce, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","ZAF","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08",NA,"1930-05-24","1930-05-24",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-05-24","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"1930-05-24","stateSignature, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA
